order_id,customer_id,tier,due_date,promised_completion_date,late,late_days,penalty_cost
ORD_001,CUST_001,TIER_1,2026-09-11T12:00:00,2026-09-02T00:35:11.580000,False,0.0,0.0
ORD_002,CUST_002,TIER_2,2026-09-12T12:00:00,2026-09-04T21:56:05.961600,False,0.0,0.0
ORD_003,CUST_003,TIER_2,2026-09-11T06:00:00,2026-09-07T16:07:04.200000,False,0.0,0.0
ORD_004,CUST_004,TIER_2,2026-09-15T00:00:00,2026-09-07T07:42:59.400000,False,0.0,0.0
ORD_005,CUST_005,TIER_3,2026-09-16T12:00:00,2026-09-03T23:08:08.880000,False,0.0,0.0
ORD_006,CUST_006,TIER_3,2026-09-17T00:00:00,2026-09-09T06:47:05.700000,False,0.0,0.0
ORD_007,CUST_007,TIER_3,2026-09-12T00:00:00,2026-09-05T07:11:59.100000,False,0.0,0.0
ORD_008,CUST_001,TIER_1,2026-09-05T12:00:00,2026-09-10T23:00:41.580000,True,5.459,17329.98
ORD_009,CUST_002,TIER_2,2026-09-09T00:00:00,2026-09-09T00:15:27.180000,True,0.011,74.42
ORD_010,CUST_003,TIER_2,2026-09-09T00:00:00,2026-09-03T14:58:06.240000,False,0.0,0.0
ORD_011,CUST_004,TIER_2,2026-09-11T00:00:00,2026-09-04T06:54:30.960000,False,0.0,0.0
ORD_012,CUST_005,TIER_3,2026-09-11T12:00:00,2026-09-06T06:58:37.620000,False,0.0,0.0
ORD_013,CUST_006,TIER_3,2026-09-11T00:00:00,2026-09-02T16:23:49.920000,False,0.0,0.0
ORD_014,CUST_007,TIER_3,2026-09-10T00:00:00,2026-09-06T16:06:09.480000,False,0.0,0.0
ORD_015,CUST_001,TIER_1,2026-09-08T00:00:00,2026-09-04T14:53:28.140000,False,0.0,0.0
ORD_016,CUST_002,TIER_2,2026-09-07T00:00:00,2026-09-10T16:08:36.960000,True,3.673,15746.62
ORD_017,CUST_003,TIER_2,2026-09-11T12:00:00,2026-09-07T23:53:30.240000,False,0.0,0.0
ORD_018,CUST_004,TIER_2,2026-09-07T12:00:00,2026-09-03T00:29:10.500000,False,0.0,0.0
ORD_019,CUST_005,TIER_3,2026-09-06T06:00:00,2026-09-10T08:49:16.500000,True,4.118,10714.28
ORD_020,CUST_006,TIER_3,2026-09-05T12:00:00,2026-09-09T15:02:24,True,4.127,3524.62
ORD_021,CUST_007,TIER_3,2026-09-04T12:00:00,2026-09-11T08:52:51.360000,True,6.87,26353.85
ORD_022,CUST_001,TIER_1,2026-09-06T12:00:00,2026-09-03T07:14:13.920000,False,0.0,0.0
ORD_023,CUST_002,TIER_2,2026-09-07T12:00:00,2026-09-06T23:33:55.440000,False,0.0,0.0
ORD_024,CUST_003,TIER_2,2026-09-05T12:00:00,2026-09-09T22:49:29.040000,True,4.451,5924.59
ORD_025,CUST_004,TIER_2,2026-09-06T06:00:00,2026-09-02T06:44:03.900000,False,0.0,0.0
